"","AMBI_W1_1","AMBI_W1_2","AMBI_W1_3","AMBI_W1_4","AMBI_W1_5","AMBI_W1_6","AMBI_W1_7","AMBI_W1_8","AMBI_W1_9","AMBI_W1_10","AMBI_W1_11","AMBI_W1_12","AMBI_W1_13","AMBI_W1_14","AMBI_W1_15","AMBI_W1_16","AMBI_W1_17","AMBI_W1_18","AMBI_W1_19","AMBI_W1_20","AMBI_W1_21","AMBI_W1_22","AMBI_W1_23","AMBI_W1_24","AMBI_W1_25","AMBI_W1_26","AMBI_W1_27","AMBI_W1_28","AMBI_W1_29","AMBI_W1_30","AMBI_W1_31","AMBI_W1_32","AMBI_W1_33","AMBI_W1_34","AMBI_W1_35","AMBI_W1_36","AMBI_W1_37","AMBI_W1_38","AMBI_W1_39","AMBI_W1_40","AMBI_W1_41","AMBI_W1_42","AMBI_W1_43","AMBI_W1_44","AMBI_W1_45","AMBI_W1_46","AMBI_W2_1","AMBI_W2_2","AMBI_W2_3","AMBI_W2_4","AMBI_W2_5","AMBI_W2_6","AMBI_W2_7","AMBI_W2_8","AMBI_W2_9","AMBI_W2_10","AMBI_W2_11","AMBI_W2_12","AMBI_W2_13","AMBI_W2_14","AMBI_W2_15","AMBI_W2_16","AMBI_W2_17","AMBI_W2_18","AMBI_W2_19","AMBI_W2_20","AMBI_W2_21","AMBI_W2_22","AMBI_W2_23","AMBI_W2_24","AMBI_W2_25","AMBI_W2_26","AMBI_W2_27","AMBI_W2_30","AMBI_W2_31","AMBI_W2_32","AMBI_W2_34","AMBI_W2_35","AMBI_W2_36","AMBI_W2_37","AMBI_W2_38","AMBI_W2_39","AMBI_W2_40","AMBI_W2_41","AMBI_W2_42","AMBI_W2_43","AMBI_W2_44","AMBI_W2_45","AMBI_W2_46","AMBI_W3_1","AMBI_W3_2","AMBI_W3_3","AMBI_W3_4","AMBI_W3_5","AMBI_W3_6","AMBI_W3_7","AMBI_W3_8","AMBI_W3_9","AMBI_W3_10","AMBI_W3_11","AMBI_W3_12","AMBI_W3_13","AMBI_W3_14","AMBI_W3_15","AMBI_W3_16","AMBI_W3_17","AMBI_W3_18","AMBI_W3_19","AMBI_W3_20","AMBI_W3_21","AMBI_W3_22","AMBI_W3_23","AMBI_W3_24","AMBI_W3_25","AMBI_W3_26","AMBI_W3_27","AMBI_W3_28","AMBI_W3_29","AMBI_W3_30","AMBI_W3_31","AMBI_W3_32","AMBI_W3_33","AMBI_W3_34","AMBI_W3_35","AMBI_W3_36","AMBI_W3_37","AMBI_W3_38","AMBI_W3_39","AMBI_W3_40","AMBI_W3_41","AMBI_W3_42","AMBI_W3_43","AMBI_W3_44","AMBI_W3_45","AMBI_W3_46","AMBI_W4_1","AMBI_W4_2","AMBI_W4_3","AMBI_W4_4","AMBI_W4_5","AMBI_W4_6","AMBI_W4_7","AMBI_W4_8","AMBI_W4_9","AMBI_W4_10","AMBI_W4_11","AMBI_W4_12","AMBI_W4_13","AMBI_W4_14","AMBI_W4_15","AMBI_W4_16","AMBI_W4_17","AMBI_W4_18","AMBI_W4_19","AMBI_W4_20","AMBI_W4_21","AMBI_W4_22","AMBI_W4_23","AMBI_W4_24","AMBI_W4_25","AMBI_W4_26","AMBI_W4_27","AMBI_W4_28","AMBI_W4_29","AMBI_W4_30","AMBI_W4_31","AMBI_W4_32","AMBI_W4_33","AMBI_W4_34","AMBI_W4_35","AMBI_W4_36","AMBI_W4_37","AMBI_W4_38","AMBI_W4_39","AMBI_W4_40","AMBI_W4_41","AMBI_W4_42","AMBI_W4_43","AMBI_W4_44","AMBI_W4_45","AMBI_W4_46"
"29",1,2,3,1,2,2,2,3,1,3,2,2,2,2,4,1,4,1,4,1,5,2,3,3,1,1,4,1,4,4,4,1,4,4,5,1,4,1,4,3,3,4,1,4,2,5,2,1,4,3,2,4,1,1,2,1,5,5,1,1,4,3,5,5,1,5,1,2,3,4,5,3,2,5,5,4,4,2,1,3,2,1,1,4,5,2,2,2,5,4,4,5,4,5,4,5,3,1,1,2,1,5,4,1,1,2,4,3,5,3,4,1,4,1,4,5,4,1,4,1,4,5,4,5,3,5,2,4,5,1,4,5,4,5,4,4,2,1,1,3,1,4,2,2,4,1,4,3,1,2,2,4,1,2,2,1,2,5,4,4,3,4,3,2,2,3,1,5,1,2,5,3,2,2,4,5,4,2,3,5,4
"30",2,5,2,3,2,3,4,3,4,4,2,4,2,4,4,3,3,2,5,4,5,2,4,4,3,3,4,3,5,5,4,2,4,2,4,4,3,1,4,3,4,5,1,4,4,3,1,4,4,4,3,3,3,5,4,4,4,4,4,4,5,2,1,3,2,3,1,2,1,2,4,4,1,2,4,4,4,1,2,4,2,2,2,3,4,3,5,2,4,3,5,5,4,4,1,4,4,4,2,5,3,5,2,3,4,5,5,3,5,2,2,4,5,3,4,4,2,4,2,4,4,4,4,4,4,4,4,3,5,2,4,5,4,2,4,4,3,4,4,4,5,5,5,4,5,2,4,3,1,4,1,4,3,4,5,5,2,5,4,3,3,4,4,2,4,4,4,3,2,5,3,4,4,5,5,4,4,4,3,5,3
"31",3,4,2,3,4,3,4,2,3,4,3,4,4,4,2,4,4,4,4,1,5,2,2,4,2,1,5,3,4,4,4,3,2,4,3,2,3,2,3,2,4,2,4,4,1,2,3,4,2,3,2,3,1,2,2,3,3,4,3,3,5,2,1,5,2,5,3,3,5,4,4,4,2,3,5,3,3,1,4,4,4,2,1,4,3,2,3,2,2,1,4,4,4,4,3,4,5,3,2,4,4,4,4,2,4,4,4,2,5,4,5,4,3,2,3,2,4,2,4,2,4,5,2,4,3,4,4,2,2,2,4,4,4,4,4,4,3,2,4,4,4,3,2,3,4,1,4,4,3,4,2,4,1,4,5,4,1,3,4,3,3,2,3,3,2,4,4,4,1,3,4,3,4,3,3,4,5,4,2,3,4
"32",1,3,3,4,2,4,5,3,3,3,3,4,4,3,5,2,5,3,4,2,4,3,3,3,3,3,3,2,5,4,4,1,2,2,4,1,5,3,3,4,4,5,1,3,3,2,1,5,5,4,2,2,1,1,2,3,3,5,3,2,5,3,1,4,1,5,5,3,2,3,4,4,1,4,1,3,4,1,3,4,2,3,2,4,4,3,4,1,2,4,3,3,5,2,1,4,3,3,2,4,2,4,2,1,5,4,3,3,3,2,4,3,4,1,1,3,2,2,4,1,5,4,1,4,4,3,4,4,2,3,4,5,4,5,5,4,3,3,2,4,4,3,4,4,3,1,5,2,2,2,1,2,4,4,2,1,1,4,4,2,2,3,2,3,2,4,3,5,3,2,3,5,4,2,4,2,4,4,2,2,4
"33",2,2,4,2,2,2,2,4,4,3,2,3,2,2,2,2,4,4,3,2,4,2,3,4,1,2,3,2,5,5,4,1,2,5,2,3,3,1,3,4,4,5,2,4,2,2,1,3,4,2,4,4,1,1,1,1,4,5,2,3,4,2,4,3,2,5,3,2,4,1,5,4,3,3,2,3,3,4,4,4,2,2,2,4,4,2,2,4,3,3,2,4,4,4,2,5,2,4,1,3,2,4,5,2,2,5,4,2,2,4,4,4,2,1,2,4,4,1,2,3,4,5,3,5,3,2,4,3,3,3,5,5,3,5,3,4,3,2,2,5,3,2,4,2,4,2,5,4,2,3,4,5,2,4,5,1,2,2,4,3,2,4,2,4,3,2,2,4,2,2,4,3,2,4,5,4,3,2,4,3,5
"34",1,3,1,4,4,1,3,4,5,2,1,4,5,5,1,4,1,1,1,1,5,1,1,5,5,3,4,1,5,5,5,1,4,4,1,5,5,1,4,4,5,3,3,4,3,1,1,3,5,1,2,4,1,1,5,4,5,2,1,1,5,1,4,3,1,3,5,5,5,2,5,1,1,1,3,5,5,1,5,4,5,1,4,4,4,4,1,1,1,1,1,4,2,4,3,5,4,1,1,1,5,5,3,1,1,5,2,4,2,5,3,4,5,1,5,1,4,5,1,1,5,5,3,5,4,2,3,5,5,1,5,5,4,5,5,3,4,1,1,5,5,3,2,4,3,1,4,4,3,1,2,2,4,4,3,1,1,4,4,5,1,5,3,4,2,4,4,5,3,1,5,4,2,4,4,5,4,2,2,3,5
"35",2,4,4,4,3,3,1,1,3,3,3,4,3,4,1,4,2,3,4,5,3,3,5,1,3,1,5,4,1,3,1,1,1,1,3,4,3,3,5,3,4,1,3,4,3,3,3,3,3,3,1,1,2,1,5,3,2,5,3,3,4,4,3,3,2,4,1,3,3,3,3,1,4,2,4,3,3,3,3,2,4,3,3,2,2,2,3,4,1,2,2,5,5,5,3,3,4,4,4,4,4,4,1,3,4,5,1,4,3,4,4,3,4,2,3,3,1,2,1,3,3,4,1,3,1,3,4,3,3,1,3,4,3,3,1,3,4,2,1,2,5,4,3,4,3,3,3,3,4,2,1,1,3,2,1,1,2,3,3,3,3,2,4,2,4,5,4,3,3,5,3,3,5,3,2,3,5,3,3,2,3
"36",2,3,2,4,4,2,1,2,3,4,2,5,2,2,2,1,2,2,4,2,4,2,4,3,2,1,4,3,4,4,4,1,4,2,2,4,4,1,2,4,4,4,3,4,5,2,4,2,2,5,2,2,5,5,4,2,4,4,2,3,2,2,4,4,3,2,2,4,4,4,4,4,2,2,4,1,4,2,4,4,2,4,1,4,2,2,2,2,4,4,2,4,2,4,4,4,2,4,2,2,2,4,2,4,1,2,1,4,4,4,4,2,4,4,2,4,2,2,4,1,4,4,4,2,4,2,3,2,4,4,4,4,4,4,4,4,2,4,1,2,4,4,1,2,4,2,4,4,4,2,2,4,2,2,2,5,1,5,4,2,2,4,2,2,4,2,2,3,4,1,4,2,2,4,4,4,4,5,4,4,2
"37",1,2,2,1,2,2,1,5,2,5,4,4,4,2,4,3,2,3,5,3,5,3,2,4,3,1,5,4,5,5,4,2,5,5,4,5,3,3,5,4,4,5,5,4,1,2,1,1,5,3,1,4,3,2,4,4,4,3,2,3,5,3,2,4,2,1,4,4,5,1,5,5,1,1,5,4,4,4,5,5,3,5,3,1,2,2,2,3,4,5,1,4,2,5,2,4,4,3,3,4,3,5,3,2,1,1,3,5,5,4,5,4,1,3,5,4,1,2,3,4,4,4,4,5,4,3,4,2,1,4,4,5,4,5,5,4,2,1,3,5,3,5,1,2,5,2,5,5,4,1,2,5,5,2,3,2,3,3,5,4,2,5,4,2,2,3,1,2,2,5,4,4,1,5,3,4,2,5,4,5,4
"38",3,4,3,2,2,3,4,4,4,3,4,2,4,3,2,4,4,2,3,2,4,3,1,5,2,1,5,2,3,4,3,2,4,2,3,3,4,3,4,4,4,2,2,3,3,2,2,4,2,3,3,4,2,2,3,2,3,4,3,4,3,4,3,4,3,2,4,4,4,2,3,2,2,3,4,2,2,4,5,3,3,3,1,3,5,3,3,2,2,4,4,5,4,3,3,3,4,2,2,4,3,4,3,3,2,3,2,4,3,2,3,3,4,2,3,3,3,4,1,3,4,4,3,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,2,4,3,4,4,3,4,2,4,3,3,2,3,3,2,4,2,3,2,3,3,3,3,3,3,4,4,4,3,5,4,3,3,2,4,4,3,4,4,4,3,4,3
"39",1,4,2,2,2,1,1,3,2,4,2,5,1,2,2,1,2,2,4,3,3,1,3,3,3,1,5,3,3,4,3,1,2,3,3,2,4,1,3,1,4,2,5,3,2,1,2,2,2,2,1,2,1,1,5,2,2,3,2,1,3,1,1,4,2,1,1,5,5,1,4,1,1,1,4,5,5,1,4,2,4,1,1,1,3,1,2,1,3,2,3,5,3,5,2,4,1,2,1,1,2,3,2,2,1,1,1,2,4,3,4,1,2,1,4,2,2,1,1,2,4,3,2,4,1,2,3,3,3,1,2,5,4,4,4,1,3,1,2,4,3,4,3,3,2,1,1,2,5,1,2,1,3,2,1,1,1,3,1,2,1,2,2,3,3,2,2,3,1,3,4,3,2,5,3,3,5,1,2,2,5
"40",1,3,3,3,3,1,2,5,1,3,1,5,5,3,3,1,1,3,4,2,4,2,5,5,3,2,2,1,5,4,4,1,5,5,2,4,3,1,1,2,4,5,2,1,1,1,1,5,5,3,1,2,1,1,2,5,4,3,1,4,5,1,1,2,2,1,5,4,4,1,5,1,1,4,3,5,5,1,5,5,2,1,1,3,4,1,4,2,1,1,1,5,1,3,1,5,1,3,3,3,3,5,2,1,1,3,1,5,4,1,5,5,2,1,5,1,4,1,4,1,5,5,4,4,5,3,3,5,3,1,5,5,2,5,4,3,4,1,3,5,5,1,1,5,3,1,5,5,3,3,1,1,3,5,4,3,1,1,3,3,3,5,5,3,1,3,5,1,1,1,1,3,1,3,4,5,3,5,3,5,3
"41",2,4,5,4,2,5,1,2,1,4,3,2,4,4,2,1,3,3,4,5,1,3,3,2,4,1,5,3,2,1,4,3,1,3,2,3,1,2,3,2,4,2,3,4,3,3,2,3,4,4,1,2,2,2,3,3,2,4,2,3,2,3,1,4,1,5,2,4,5,3,4,3,1,3,5,2,2,3,3,3,3,2,2,1,2,2,4,4,3,4,3,5,5,5,3,3,3,3,4,2,5,5,2,2,3,5,3,4,5,5,5,3,2,3,5,3,2,3,3,4,3,5,2,3,3,2,4,5,4,2,4,5,4,3,4,5,3,4,1,3,3,3,1,3,2,2,4,5,4,3,1,4,4,5,4,2,3,4,3,2,3,3,5,4,3,4,3,2,2,5,2,4,2,2,4,4,5,3,4,4,5
"42",3,4,3,4,4,3,3,3,3,4,4,5,1,2,2,4,2,4,2,3,2,2,3,2,2,1,5,4,2,3,4,4,1,5,2,2,2,3,5,2,5,2,4,4,4,2,2,2,2,3,3,4,1,1,5,5,1,5,4,3,4,2,4,5,2,4,1,4,5,5,2,1,3,2,4,5,4,4,5,4,3,1,1,1,4,4,1,4,2,5,4,5,3,5,4,2,5,3,4,1,3,4,2,4,4,5,1,4,5,4,4,2,3,2,4,4,1,4,4,3,2,4,1,4,4,2,5,5,2,3,2,5,5,2,3,2,4,1,1,3,4,4,2,3,2,1,2,2,4,2,2,4,2,5,1,1,3,5,1,2,2,1,2,3,4,4,3,4,4,3,3,2,4,4,3,3,5,2,2,3,4
"43",2,3,4,4,3,4,2,2,4,4,4,5,2,2,4,4,5,2,5,4,3,3,5,1,4,1,5,4,5,1,2,1,2,2,4,3,2,3,2,1,4,2,2,5,4,4,1,2,3,4,1,1,1,1,4,2,2,2,2,2,4,4,2,5,1,3,3,5,2,4,4,2,4,1,5,5,5,5,5,4,4,2,1,2,3,4,2,4,2,4,4,5,4,5,1,4,3,4,5,1,3,2,1,5,1,3,2,5,3,4,5,5,2,2,4,2,1,4,1,4,4,4,2,4,2,2,4,4,2,2,4,4,5,4,4,2,2,2,1,2,2,4,2,2,2,3,2,4,2,1,2,4,4,2,2,2,4,2,5,2,2,2,2,5,2,4,2,4,2,4,2,2,4,4,2,2,4,1,1,3,2
"44",5,4,1,1,1,1,5,2,4,2,4,4,2,5,2,5,4,1,2,1,1,1,4,2,2,5,5,1,5,5,5,1,1,4,2,1,5,1,2,4,2,5,1,4,2,2,2,5,4,5,5,2,1,1,5,5,1,1,4,4,5,4,5,2,2,5,3,1,1,5,5,4,1,5,1,5,4,1,5,4,4,5,2,5,5,2,4,1,5,4,5,5,5,5,3,5,1,4,1,4,1,5,5,5,1,5,2,2,5,3,2,2,5,1,1,2,5,1,1,1,4,5,2,4,4,4,2,4,4,1,4,5,4,5,1,5,4,3,2,2,4,4,5,4,5,4,4,1,1,4,4,5,1,1,4,1,1,4,2,4,5,2,1,1,4,4,2,5,1,1,5,2,5,5,2,5,4,4,1,2,2
"45",2,4,4,4,4,2,4,4,2,4,2,4,3,5,1,4,1,4,5,1,5,4,5,4,4,2,5,2,4,5,2,1,1,4,2,2,2,2,3,4,5,4,2,4,1,4,2,4,4,2,1,4,1,1,5,4,1,5,1,2,4,2,1,5,2,5,2,2,2,4,4,2,2,2,5,1,4,2,4,4,4,2,1,1,4,2,4,2,2,4,2,5,5,5,2,4,4,2,2,2,5,5,2,1,5,5,1,4,4,5,4,2,2,1,4,2,2,2,3,2,2,4,2,5,2,4,2,5,2,2,4,5,5,5,3,2,4,2,1,2,5,4,4,4,4,1,2,2,2,2,1,2,2,4,5,2,1,2,4,2,2,2,4,4,1,4,4,3,1,4,4,2,4,3,1,5,5,1,4,2,4
"46",2,3,4,4,4,4,3,4,3,4,2,4,2,4,1,3,4,3,4,4,4,4,4,3,4,1,4,1,5,3,2,2,2,4,2,3,1,2,4,3,5,3,2,4,3,2,2,2,4,2,2,1,1,1,4,1,3,2,2,4,4,2,3,2,1,4,1,2,4,2,5,4,4,2,4,4,4,1,4,4,2,2,1,3,4,1,5,5,2,1,2,5,4,4,2,5,3,4,3,1,4,3,5,2,2,4,1,1,4,5,4,2,2,2,3,1,3,3,1,2,3,4,3,3,3,3,2,4,4,3,4,4,4,4,3,4,3,3,2,2,3,2,2,4,3,3,4,3,4,4,4,3,2,3,2,3,4,4,4,3,4,2,4,4,4,3,4,4,4,4,2,2,4,3,4,4,4,3,3,4,3
"47",4,3,4,4,4,2,3,3,3,4,3,3,2,4,3,3,3,4,3,3,4,1,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,1,4,3,2,3,4,3,4,4,4,4,3,3,3,1,2,2,4,4,4,3,3,1,4,2,3,4,3,4,3,3,1,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,2,2,2,3,4,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,4,4,2,2,5,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,5,1,3,2,4,3,2,3,3,3,3,3,3,3,4,3,3,4,2,3,2,2,3,3,2,4,3
"48",1,2,1,4,4,2,5,5,1,4,1,5,5,2,1,2,1,1,4,4,5,2,1,5,4,3,5,4,1,4,5,1,2,5,2,3,4,1,5,2,3,4,4,3,3,2,2,2,4,1,2,2,1,1,4,5,4,4,4,4,5,1,4,5,2,1,5,4,5,3,5,1,1,1,1,5,5,1,4,2,1,2,1,4,5,2,4,3,3,1,2,5,3,4,5,1,1,1,1,1,2,5,1,1,2,4,1,1,5,2,4,5,5,1,5,1,2,1,1,1,1,1,4,4,4,2,4,1,2,1,1,5,4,1,5,1,3,1,1,2,5,1,1,2,2,1,4,4,5,3,1,2,5,4,4,1,2,5,2,1,1,5,5,3,4,5,4,4,4,4,2,3,1,4,2,4,4,4,2,4,2
"49",1,2,4,3,1,2,1,4,2,4,1,5,3,3,1,4,2,2,4,1,4,3,2,3,2,1,4,3,3,4,2,1,2,5,1,1,2,2,4,4,5,3,3,3,2,2,3,3,4,1,2,4,3,3,5,5,4,3,2,2,4,2,1,5,2,4,3,4,4,4,5,2,4,4,5,4,4,2,3,2,2,3,2,1,4,3,5,2,2,3,2,4,4,4,3,4,4,4,3,2,4,3,2,1,2,5,1,3,4,3,4,3,1,1,5,2,2,2,1,2,5,5,3,5,2,4,4,3,4,2,5,3,4,5,5,2,5,1,5,2,3,4,5,3,1,2,5,4,3,1,1,3,4,4,4,3,3,4,4,3,2,2,4,3,2,3,3,5,4,3,5,5,1,5,2,4,5,3,2,4,5
"50",1,2,2,1,3,2,4,3,2,3,1,2,4,4,2,2,1,1,4,1,5,3,4,2,2,1,5,1,5,5,4,1,3,4,3,2,4,1,3,1,4,2,3,3,1,2,2,3,4,4,1,3,3,1,1,5,4,1,3,1,3,4,1,3,2,2,4,2,4,4,4,4,1,2,1,1,4,1,5,4,4,2,3,3,4,1,2,2,5,2,3,5,4,5,1,4,2,2,1,3,2,4,4,2,1,4,3,4,3,3,5,2,2,1,2,3,4,1,1,1,4,4,2,3,3,4,1,4,4,1,5,5,3,5,5,3,5,4,5,5,2,2,2,4,3,2,3,2,3,2,2,3,2,3,4,1,1,3,4,4,2,1,2,3,1,3,4,5,1,3,5,2,2,3,5,5,4,4,3,4,4
