"","Loc_adresse_formated","Loc_country","Loc_state","Loc_county","Loc_city"
"210","Edwarda Brzozowskiego 2A, 41-600 Świętochłowice, Poland","Poland","Silesian Voivodeship","Górnośląsko-Zagłębiowska Metropolia","Świętochłowice"
"211","Tv Trem 9, 8800-735 Tavira Municipality, Portugal","Portugal","Faro","Tavira Municipality","Tv Trem 9, 8800-735 Tavira Municipality, Portugal"
"212","622 S Monon Trail, Carmel, IN 46032, United States of America","United States","Indiana","Hamilton County","Carmel"
"213","8520 New Salem Street, San Diego, CA 92126, United States of America","United States","California","San Diego County","San Diego"
"214","100 Edforth Way NW, Calgary, AB T3A 3V4, Canada","Canada","Alberta","Calgary","Calgary"
"215","872 Oneida Street, Denver, CO 80220, United States of America","United States","Colorado","Denver","872 Oneida Street, Denver, CO 80220, United States of America"
"216","Królowej Jadwigi 8, 67-100 Nowa Sól, Poland","Poland","Lubusz Voivodeship","Nowa Sól County","Nowa Sól"
"217","Galeria Siedlce, Józefa Piłsudskiego 74, 08-110 Siedlce, Poland","Poland","Masovian Voivodeship","Siedlce","Galeria Siedlce, Józefa Piłsudskiego 74, 08-110 Siedlce, Poland"
"218","Juliusza Słowackiego 3, 62-600 Koło, Poland","Poland","Greater Poland","Kolski","Koło"
"219","Wojska Polskiego 103/141, 91-720 Łódź, Poland","Poland","Łódź Voivodeship","Łódź","Łódź"
"220","8940 SW Rebecca Lane, Beaverton, OR 97008, United States of America","United States","Oregon","Washington County","Beaverton"
"221","Różana 3, 05-800 Pruszków, Poland","Poland","Mazowieckie","Pruszków","Pruszków"
"222","R Lagares 66, 1100-297 Lisbon, Portugal","Portugal","Lisbon","Lisbon","R Lagares 66, 1100-297 Lisbon, Portugal"
"223","Πλατεία, Φιλίππου, 546 35 Thessaloniki Municipal Unit, Greece","Greece","Macedonia and Thrace","Thessaloniki Regional Unit","Thessaloniki Municipal Unit"
"224","10015 NE 4th Street, Bellevue, WA 98004, United States of America","United States","Washington","King County","Bellevue"
"225","Świętojańska 2, 61-113 Poznan, Poland","Poland","Greater Poland","Poznan","Poznan"
"226","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"227","Cattle Market Street, Norwich, NR1 3DY, United Kingdom","United Kingdom","England","Norfolk","Norwich"
"228","Śniadeckich 15, 33-300 Nowy Sącz, Poland","Poland","Lesser Poland Voivodeship","Edmund Cieczkiewicz","Nowy Sącz"
"229","252 North Taylor Avenue, Saint Louis, MO 63108, United States of America","United States","Missouri","Saint Louis","252 North Taylor Avenue, Saint Louis, MO 63108, United States of America"
"230","158 Del Rio Pike, Franklin, TN 37064, United States of America","United States","Tennessee","Williamson County","Franklin"
"231","R Lourinha 487, 4435-310 Rio Tinto, Portugal","Portugal","Porto","Rio Tinto","R Lourinha 487, 4435-310 Rio Tinto, Portugal"
"232","R Bombeiros Voluntarios 15, 2670-422 Loures, Portugal","Portugal","Lisbon","Loures","R Bombeiros Voluntarios 15, 2670-422 Loures, Portugal"
"233","4814 Abbott Avenue, Highland Park, TX 75205, United States of America","United States","Texas","Dallas County","Highland Park"
"234","1001 West Luzerne Street, Philadelphia, PA 19140, United States of America","United States","Pennsylvania","Philadelphia County","Philadelphia"
"235","89 Pleasant Street, Medfield, MA 02052, United States of America","United States","Massachusetts","Norfolk County","Medfield"
"236","Splash! La Mirada Regional Aquatics Center, 13806 La Mirada Boulevard, La Mirada, CA 90638, United States of America","United States","California","Los Angeles County","La Mirada"
"237","2 Essex Street, New York, NY 10002, United States of America","United States","New York","New York County","New York"
"238","Newport Harbout Care Centre, 20 Country Village Cove NE, Calgary, AB T3K 5T9, Canada","Canada","Alberta","Calgary","Calgary"
"239","1520 Johnson Road NW, Atlanta, GA 30318, United States of America","United States","Georgia","Fulton County","Atlanta"
"240","Cardiff Castle and Roman Fort, Kingsway, Cardiff, CF, United Kingdom","United Kingdom","Wales","Cardiff","Cardiff"
"241","Zapopan Park, 3018 Charlotte Avenue, Rosemead, CA 91770, United States of America","United States","California","Los Angeles County","Rosemead"
"242","Grand Lake – Oakland Farmers Market, Lake Park Avenue, Oakland, CA 94610, United States of America","United States","California","Alameda County","Oakland"
"243","Rotary Playgarden, Spring Street, San Jose, CA 95110-2007, United States of America","United States","California","Santa Clara County","San Jose"
"244","7439 West Dewey Drive, Spring Valley, NV 89113, United States of America","United States","Nevada","Clark County","Spring Valley"
"245","Greendale Golf Course, PowerLine Dirt Trail, Rose Hill, VA 22310-6299, United States of America","United States","Virginia","Fairfax County","Rose Hill"
"246","6471 Blue Poppy Drive, Elk Grove, CA 95757, United States of America","United States","California","Sacramento County","Elk Grove"
"247","Quince Mill Drive, North Potomac, MD 20878, United States of America","United States","Maryland","Montgomery County","North Potomac"
"248","9893 Blackwood Canyon Court, Enterprise, NV 89141, United States of America","United States","Nevada","Clark County","Enterprise"
"249","891 University Street, San Francisco, CA 94134.0, United States of America","United States","California","San Francisco County","San Francisco"
"250","3122 Hillside Landing Trail, Katy, TX 77494, United States of America","United States","Texas","Fort Bend County","Katy"
"251","4118 North Tonto Way, Prescott Valley, AZ 86314, United States of America","United States","Arizona","Yavapai County","Prescott Valley"
"252","160 West 1675 North, Layton, UT 84041, United States of America","United States","Utah","Davis County","Layton"
"253","40571 Ives Court, Fremont, CA 94538, United States of America","United States","California","Alameda County","Fremont"
"254","Colony Bend Elementary School, 2720 Planters Street, Sugar Land, TX 77479, United States of America","United States","Texas","Fort Bend County","Sugar Land"
"255","21 Highland Street, Milton, MA 02186, United States of America","United States","Massachusetts","Norfolk County","Milton"
"256","140 West Freistadt Road, Mequon, WI 53092, United States of America","United States","Wisconsin","Ozaukee County","Mequon"
"257","26 Munn Street, Barangaroo NSW 2000, Australia","Australia","New South Wales","Sydney","Barangaroo"
"258","2209 Parkland Way, Champaign, IL 61821, United States of America","United States","Illinois","Champaign County","Champaign"
"259","200 Pollock Road, State College, PA 16802, United States of America","United States","Pennsylvania","Centre County","State College"
"260","575 Piercy Road, San Jose, CA 95138-1204, United States of America","United States","California","Santa Clara County","San Jose"
"261","16755 Ella Boulevard, Houston, TX 77090, United States of America","United States","Texas","Harris County","Houston"
"262","21 Blanchard Street, Rockland, MA 02371, United States of America","United States","Massachusetts","Plymouth County","Rockland"
"263","1126 Haight Street, San Francisco, CA 94117, United States of America","United States","California","San Francisco County","San Francisco"
"264","2201 South Pinehurst Place, Ontario, CA 91761, United States of America","United States","California","San Bernardino County","Ontario"
"265","357 Grand Highland Way, Mississauga, ON L4Z 3V1, Canada","Canada","Ontario","Peel","Mississauga"
"266","Mathias Botanical Garden, Hilgard Avenue, Los Angeles, CA 90024, United States of America","United States","California","Los Angeles County","Los Angeles"
"267","6302 Berkshire Lane North, Maple Grove, MN 55311, United States of America","United States","Minnesota","Hennepin County","Maple Grove"
"268","Saint Joseph's School, Miramonte Avenue, Mountain View, CA 94039, United States of America","United States","California","Santa Clara County","Mountain View"
"269","8520 New Salem Street, San Diego, CA 92126, United States of America","United States","California","San Diego County","San Diego"
"270","5502 Cherry Ridge Road, Richmond, TX 77406, United States of America","United States","Texas","Fort Bend County","Richmond"
"271","27624 Crazy Horse Drive, San Antonio, TX 78260, United States of America","United States","Texas","Bexar County","San Antonio"
"272","Baseball field, Layne Road, Somerset, NJ 08873, United States of America","United States","New Jersey","Somerset County","Baseball field, Layne Road, Somerset, NJ 08873, United States of America"
"273","3754 Timahoe Circle, Nottingham, MD 21236, United States of America","United States","Maryland","Baltimore County","Nottingham"
"274","1936 Municipal Road 80, Sudbury, ON, Canada","Canada","Ontario","Greater Sudbury / Grand Sudbury","Sudbury"
"275","4779 Brookfield Drive, Sacramento, CA 95823, United States of America","United States","California","Sacramento County","Sacramento"
"276","527 South Street, Quincy, MA 02169, United States of America","United States","Massachusetts","Norfolk County","Quincy"
"277","1703 East Fourteenth Street, Greenville, NC, United States of America","United States","North Carolina","Pitt County","Greenville"
"278","40571 Ives Court, Fremont, CA 94538, United States of America","United States","California","Alameda County","Fremont"
"279","Mascot Oval, O'Riordan Street, Mascot NSW 2020, Australia","Australia","New South Wales","Bayside Council","Sydney"
"280","2509 South 21st Street, Philadelphia, PA 19145, United States of America","United States","Pennsylvania","Philadelphia County","Philadelphia"
"281","163 Pennsylvania Avenue, Flemington, NJ 08822, United States of America","United States","New Jersey","Hunterdon County","Flemington"
"282","7900 Birchmount Road, Markham, ON L3R 3S1, Canada","Canada","Ontario","York","Markham"
"283","Sunset Valley Golf Course, Foley Fishing Pond Trail, Highland Park, IL 60035, United States of America","United States","Illinois","Lake County","Highland Park"
"284","1242 New Smyrna Drive, Allen, TX 75013, United States of America","United States","Texas","Collin County","Allen"
"285","921 Monroe Street, Evanston, IL 60202, United States of America","United States","Illinois","Cook County","Evanston"
"286","627 Lomond Circle, San Ramon, CA, United States of America","United States","California","Contra Costa County","San Ramon"
"287","16214 Brookford Drive, Houston, TX 77059, United States of America","United States","Texas","Harris County","Houston"
"288","Garfield Square, Treat Avenue, San Francisco, CA 90103, United States of America","United States","California","San Francisco","Garfield Square, Treat Avenue, San Francisco, CA 90103, United States of America"
"289","66 Fox Chase Lane, Palmyra, VA 22963, United States of America","United States","Virginia","Fluvanna County","Palmyra"
"290","Thrasher Park, Davis Street, San Leandro, CA 94577, United States of America","United States","California","Alameda County","San Leandro"
"291","5101 West 99th Street, Oak Lawn, IL 60453, United States of America","United States","Illinois","Cook County","Oak Lawn"
"292","171 Riverside Drive, WA 6000, Australia","Australia","Western Australia","171 Riverside Drive, WA 6000, Australia","Australia"
"293","68 West 14th Street, Indianapolis, IN 46202, United States of America","United States","Indiana","Marion County","Indianapolis"
"294","176 Street, Surrey, BC V3S 8E7, Canada","Canada","British Columbia","Metro Vancouver Regional District","Surrey"
"295","15-52 Clintonville Street, New York, NY 11357, United States of America","United States","New York","New York","15-52 Clintonville Street, New York, NY 11357, United States of America"
"296","Ace rental cars, 50 Ross Smith Avenue, Mascot NSW, Australia","Australia","New South Wales","Botany Bay","Mascot"
"297","14831 Pierce Road, Saratoga, CA 95070, United States of America","United States","California","Santa Clara County","Saratoga"
"298","4632 Annhurst Road, Columbus, OH 43228, United States of America","United States","Ohio","Franklin County","Columbus"
"299","298 Highbrook Crescent, Kitchener, ON, Canada","Canada","Ontario","Waterloo","Kitchener"
"300","43148 Meadows Parkway, Temecula, CA 92592, United States of America","United States","California","Riverside County","Temecula"
"301","37316 Sequoia Road, Fremont, CA 94536, United States of America","United States","California","Alameda County","Fremont"
"302","1-9 鬼越一丁目, Ichikawa-shi, Chiba Prefecture 272-8501, Japan","Japan","Chiba Prefecture","Ichikawa","Ichikawa-shi"
"303","St Paul's Cemetery, Coventry, United Kingdom","United Kingdom","England","West Midlands","Coventry"
"304","2268 Greens Prairie Road West, College Station, TX 77845, United States of America","United States","Texas","Brazos County","College Station"
"305","Errwood Road/Avon Road, Errwood Road, Manchester, M19 1GE, United Kingdom","United Kingdom","England","Greater Manchester","Manchester"
"306","Tampere Hall, Yliopistonkatu 55, 33100 Tampere, Finland","Finland","Mainland Finland","Pirkanmaa","Tampere"
"307","Snow Park Restroom, 1930 Harrison Street, Oakland, CA 94612, United States of America","United States","California","Alameda County","Oakland"
"308","Viale Dalmazia, 3, 36100 Vicenza VI, Italy","Italy","Veneto","Vicenza","Vicenza"
"309","Café y Tapas, Plaza del Ayuntamiento, 18, 46002 Valencia, Spain","Spain","Valencian Community","Valencia","Valencia"
"310","Lewisham Gateway Phase 2, London, SE13 5AF, United Kingdom","United Kingdom","England","Greater London","London"
"311","Mosseveien 279, 1169 Oslo, Norway","Norway","Oslo","Oslo","Mosseveien 279, 1169 Oslo, Norway"
"312","9 Alpine Crescent, Gedling, NG4 3RX, United Kingdom","United Kingdom","England","Nottinghamshire","Gedling"
"313","94 Rotherfield Crescent, Brighton and Hove, United Kingdom","United Kingdom","England","East Sussex","Brighton and Hove"
"314","13236 SE 51st Place, Bellevue, WA 98006, United States of America","United States","Washington","King County","Bellevue"
"315","Eastham Sands, Liverpool, United Kingdom","United Kingdom","England","Merseyside","Liverpool"
"316","Rektorsgränd 7, Löddeköpinge, Sweden","Sweden","Scania","Kavlinge","Löddeköpinge"
"317","Marchantstraat 29, 5042 RG Tilburg, Netherlands","Netherlands","North Brabant","Tilburg","Marchantstraat 29, 5042 RG Tilburg, Netherlands"
"318","26 Munn Street, Barangaroo NSW 2000, Australia","Australia","New South Wales","Sydney","Barangaroo"
"319","Avenue Du Théâtre 6, 1005 Lausanne, Switzerland","Switzerland","Vaud","Vaud (unincorporated)","Lausanne"
"320","4801 Hamilton Avenue, Baltimore, MD 21206, United States of America","United States","Maryland","City of Baltimore","Baltimore"
"321","124 Calvert Road, Rockville, MD 20850, United States of America","United States","Maryland","Montgomery County","Rockville"
"322","22 Mill Dam Road, Smithtown, NY 11787, United States of America","United States","New York","Suffolk County","Smithtown"
"323","GARAGE North 18th Street, Lafayette, IN 47904, United States of America","United States","Indiana","Tippecanoe County","Lafayette"
"324","PURiNO, Am Schloss Gottesaue 4, 76131 Karlsruhe, Germany","Germany","Baden-Württemberg","Karlsruhe","Karlsruhe"
"325","Garten- und Friedhofsamt Betriebsstelle Bopserwaldstr. 3, Bopserwaldstraße 3, 70184 Stuttgart, Germany","Germany","Baden-Württemberg","Esslingen","Stuttgart"
"326","867 Barros Drive, Sacramento, CA 95835, United States of America","United States","California","Sacramento County","Sacramento"
"327","30 Shanley Street, Boston, MA 02135-3202, United States of America","United States","Massachusetts","Suffolk County","Boston"
"328","Wexler-Grant Community School, 55 Foote Street, New Haven, CT 06511, United States of America","United States","Connecticut","New Haven County","New Haven"
"329","Nicolaas Beetsplantsoen 1, 1053 GV Amsterdam, Netherlands","Netherlands","North Holland","Amsterdam","Nicolaas Beetsplantsoen 1, 1053 GV Amsterdam, Netherlands"
"330","05N242 Prairie Lakes Boulevard, St. Charles, IL 60175, United States of America","United States","Illinois","Kane County","St. Charles"
"331","1315 Sullivan Avenue, South Windsor, CT 06074, United States of America","United States","Connecticut","Hartford County","South Windsor"
"332","Cathedral Square, Colmore Row, Birmingham, B3 2BS, United Kingdom","United Kingdom","England","West Midlands Combined Authority","Birmingham"
"333","3117 Everts Avenue, Windsor, ON, Canada","Canada","Ontario","Essex","Windsor"
"334","251 Old Colony Road, Richmond Hill, ON L4E 5B9, Canada","Canada","Ontario","York","Richmond Hill"
"335","Beneluxlaan 900C, 3526 KK Utrecht, Netherlands","Netherlands","Utrecht","Utrecht","Beneluxlaan 900C, 3526 KK Utrecht, Netherlands"
"336","1670 28th Avenue, San Francisco, CA 94122-1515, United States of America","United States","California","San Francisco","1670 28th Avenue, San Francisco, CA 94122-1515, United States of America"
"337","10015 NE 4th Street, Bellevue, WA 98004, United States of America","United States","Washington","King County","Bellevue"
"338","1120 North French Road, Buffalo, NY 14228, United States of America","United States","New York","Erie County","Buffalo"
"339","Bagan Park, Southwest Verde Terrace, Tigard, OR 97223, United States of America","United States","Oregon","Washington County","Tigard"
"340","Lincoln Park Golf Course, 36th Avenue, San Francisco, CA 94121, United States of America","United States","California","San Francisco","Lincoln Park Golf Course, 36th Avenue, San Francisco, CA 94121, United States of America"
"341","3025 Ebano Drive, Walnut Creek, CA 94598, United States of America","United States","California","Contra Costa County","Walnut Creek"
"342","Campus for Ageing and Vitality, Westgate Road, Newcastle upon Tyne, NE4 9AQ, United Kingdom","United Kingdom","England","Tyne and Wear","Newcastle upon Tyne"
"343","401 Hunters Point Boulevard, San Francisco, CA 94124.0, United States of America","United States","California","San Francisco County","San Francisco"
"344","33044 Marsh Hawk Road, Union City, CA 94587, United States of America","United States","California","Alameda County","Union City"
"345","The Sportsman, 23 The Street, Sholden, CT14 0AL, United Kingdom","United Kingdom","England","Kent","Sholden"
"346","2499 Stone Crest Drive, Austin, TX 78704, United States of America","United States","Texas","Travis County","Austin"
"347","1427 West West Covina Parkway, West Covina, CA 91790, United States of America","United States","California","Los Angeles County","West Covina"
"348","7831 West Granito Drive, Los Angeles, CA 90046, United States of America","United States","California","Los Angeles County","Los Angeles"
"349","Pembridge (130), 31 Princes Street, Auckland Central, New Zealand","New Zealand","Auckland Region","Auckland","Auckland Central"
"350","2535 North Eastern Avenue, Los Angeles, CA 90032, United States of America","United States","California","Los Angeles County","Los Angeles"
"351","54-06 Woodside Avenue, New York, NY 11377, United States of America","United States","New York","Queens County","New York"
"352","87 Alberti Aisle, Irvine, CA 92614, United States of America","United States","California","Orange County","Irvine"
"353","Lancer Tennis Courts, Taconic Road, Livingston, NJ 07039, United States of America","United States","New Jersey","Essex County","Livingston"
"354","6348 Robins Nest, San Antonio, TX 78249, United States of America","United States","Texas","Bexar County","San Antonio"
"355","800 Bethesda School Road, Lawrenceville, GA 30044, United States of America","United States","Georgia","Gwinnett County","Lawrenceville"
"356","Parkhill Junior High School, 16500 Shadybank Drive, Dallas, TX 75248, United States of America","United States","Texas","Dallas County","Dallas"
"357","Amandus Adamsoni 6, 10137 Tallinn, Estonia","Estonia","Harju","Harju maakond","Tallinn"
"358","6535 Stanton Avenue, Pittsburgh, PA 15206, United States of America","United States","Pennsylvania","Allegheny County","Pittsburgh"
"359","13634 108th Avenue NE, Kirkland, WA 98034, United States of America","United States","Washington","King County","Kirkland"
"360","1108 North Felton Court, Chicago, IL 60610, United States of America","United States","Illinois","Cook County","Chicago"
"361","304 Lamartine Street, Boston, MA 02130, United States of America","United States","Massachusetts","Suffolk County","Boston"
"362","2711 South Adams Street, Marion, IN 46953, United States of America","United States","Indiana","Grant County","Marion"
"363","Clark Ádám tér, Budapest, 1011, Hungary","Hungary","Central Hungary","Budapest","Budapest"
"364","1917 East Washington Street, East Peoria, IL 61611, United States of America","United States","Illinois","Tazewell County","East Peoria"
"365","Quail Valley La Quinta Course, Carnoustie Drive, Missouri City, TX 77459, United States of America","United States","Texas","Fort Bend County","Missouri City"
"366","Winn Farm, 57 Summer Street, Arlington, MA 02174, United States of America","United States","Massachusetts","Middlesex County","Arlington"
"367","1 Victoria Street, Bristol, BS1 6AA, United Kingdom","United Kingdom","England","Bristol","Bristol"
"368","Sycamore Canyon Park, 22930 Golden Springs Drive, Diamond Bar, CA 91765, United States of America","United States","California","Los Angeles County","Diamond Bar"
"369","The Dasses, City of Edinburgh, EH8 8HG, United Kingdom","United Kingdom","Scotland","City of Edinburgh","The Dasses, City of Edinburgh, EH8 8HG, United Kingdom"
"370","Garten- und Friedhofsamt Betriebsstelle Bopserwaldstr. 3, Bopserwaldstraße 3, 70184 Stuttgart, Germany","Germany","Baden-Württemberg","Esslingen","Stuttgart"
"371","Worthington Dog Park, Hillsborough Road, Ellicott City, MD 21043, United States of America","United States","Maryland","Howard County","Ellicott City"
"372","Zapopan Park, 3018 Charlotte Avenue, Rosemead, CA 91770, United States of America","United States","California","Los Angeles County","Rosemead"
"373","1645 17th Street, San Francisco, CA 94107.0, United States of America","United States","California","San Francisco County","San Francisco"
"374","31 London Circuit, City ACT 2601, Australia","Australia","Australian Capital Territory","City","31 London Circuit, City ACT 2601, Australia"
"375","4429 Cherry Tree Lane, Sykesville, MD 21784, United States of America","United States","Maryland","Carroll County","Sykesville"
"376","165 Brookside Avenue, Hershey, PA 17033, United States of America","United States","Pennsylvania","Dauphin County","Hershey"
"377","2414 West Lunt Avenue, Chicago, IL 60645, United States of America","United States","Illinois","Cook County","Chicago"
"378","CubeSmart, 2990 Cropsey Avenue, New York, NY 11214, United States of America","United States","New York","Kings County","New York"
"379","817 Rue Manoogian, Montreal, QC H4L 5H8, Canada","Canada","Quebec","Urban agglomeration of Montreal","Montreal"
"380","6530 4 Avenue, New York, NY 11220, United States of America","United States","New York","Kings County","New York"
"381","1974-7 法林寺, Toyama Prefecture, Japan","Japan","Toyama Prefecture","Nanto","1974-7 法林寺, Toyama Prefecture, Japan"
"382","Watkins Middle School, 4800 Cairnvillage Street, Houston, TX 77084, United States of America","United States","Texas","Harris County","Houston"
"383","Copthorne Hotel Commodore, Christchurch Central 8011, New Zealand","New Zealand","Canterbury Region","Christchurch City","Christchurch Central"
"384","527 Bullingham Lane, Allen, TX 75002, United States of America","United States","Texas","Collin County","Allen"
"385","7904 East Altair Lane, Anaheim, CA 92808, United States of America","United States","California","Orange County","Anaheim"
"386","5910 Terremont Circle, Norcross, GA 30093, United States of America","United States","Georgia","Gwinnett County","Norcross"
"387","Clark Ádám tér, Budapest, 1011, Hungary","Hungary","Central Hungary","Budapest","Budapest"
"388","Balboa High School, Oneida Avenue, San Francisco, CA 94112, United States of America","United States","California","San Francisco","Balboa High School, Oneida Avenue, San Francisco, CA 94112, United States of America"
"389","3005 Via Venezia, Henderson, NV 89052, United States of America","United States","Nevada","Clark County","Henderson"
"390","891 University Street, San Francisco, CA 94134.0, United States of America","United States","California","San Francisco County","San Francisco"
"391","Galapo Playground, New York, NY 11229, United States of America","United States","New York","Kings County","New York"
"392","300 East Cheyenne Mountain Boulevard, Colorado Springs, CO 80906, United States of America","United States","Colorado","El Paso County","Colorado Springs"
"393","benches, Ithaca, NY 14850, United States of America","United States","New York","Tompkins County","Ithaca"
"394","300 Woodland Street, Pekin, IL, United States of America","United States","Illinois","Tazewell County","Pekin"
"395","401 North East Silver Lake Road, Traverse City, MI 49685, United States of America","United States","Michigan","Grand Traverse County","Traverse City"
"396","1 Davy Road, Cambridge, CB1 3QW, United Kingdom","United Kingdom","England","Cambridgeshire","Cambridge"
"397","805 Ferry Road, Lower, NJ, United States of America","United States","New Jersey","Cape May County","Lower"
"398","Hoover Recreation Center, Los Angeles, CA 90007, United States of America","United States","California","Los Angeles County","Los Angeles"
"399","47647 Lyman Drive, Calcutta, OH 43920, United States of America","United States","Ohio","Columbiana County","Calcutta"
"400","8404 207th Place NE, Arlington, WA 98223, United States of America","United States","Washington","Snohomish County","Arlington"
"401","10 Cornell Street, Williston Park, NY 11596, United States of America","United States","New York","Nassau County","Williston Park"
"402","1759 Bellevue Avenue, Durham, NC 27705, United States of America","United States","North Carolina","Durham County","Durham"
"403","9893 Blackwood Canyon Court, Enterprise, NV 89141, United States of America","United States","Nevada","Clark County","Enterprise"
"404","Free Field Walking Trail, Ashland, OH, United States of America","United States","Ohio","Ashland County","Ashland"
"405","8008 Temple Park Road, Fair Oaks, CA 95628, United States of America","United States","California","Sacramento County","Fair Oaks"
"406","1989 NC-39, Franklin County, NC, United States of America","United States","North Carolina","Franklin County","1989 NC-39, Franklin County, NC, United States of America"
"407","3814 Stonewall Terrace Southeast, Vinings, GA 30339, United States of America","United States","Georgia","Cobb County","Vinings"
"408","Bolesława Chrobrego 3b, 87-100 Toruń, Poland","Poland","Kujawsko-pomorskie","Austronesian languages","Toruń"
"409","1304 Mclees Road, Anderson, SC 29621, United States of America","United States","South Carolina","Anderson County","Anderson"
"410","1127 NE U.S. 20 Business, Lincoln County, OR, United States of America","United States","Oregon","Lincoln County","1127 NE U.S. 20 Business, Lincoln County, OR, United States of America"
"411","706 Buccaneer Court, Silver Spring, MD 20904, United States of America","United States","Maryland","Montgomery County","Silver Spring"
"412","Lotos - Kawiarnia i galeria, Władysława Broniewskiego 6, 58-400 Kamienna Góra, Poland","Poland","dolnoslaskie","Kamienna Góra","Kamienna Góra"
"413","445 Beaver Street, Franklin Town, MA 02038, United States of America","United States","Massachusetts","Norfolk County","Franklin Town"
"414","2100 West 11th Street, Houston, TX 77008, United States of America","United States","Texas","Harris County","Houston"
"415","Parkhill Junior High School, 16500 Shadybank Drive, Dallas, TX 75248, United States of America","United States","Texas","Dallas County","Dallas"
"416","504 S Lake Drive, Lexington, SC 29072, United States of America","United States","South Carolina","Lexington County","Lexington"
"417","1070 Center Street, Muskegon, MI 49442, United States of America","United States","Michigan","Muskegon County","Muskegon"
"418","Diestelmeiersweg 25, 28201 Bremen, Germany","Germany","Free Hanseatic City of Bremen","Bremen","Bremen"
"419","Reza's Pitch, 304 East Front Avenue, Bismarck, ND 58504, United States of America","United States","North Dakota","Burleigh County","Bismarck"
"420","200 1st Street, Springtown, TX 76082, United States of America","United States","Texas","Parker County","Springtown"
"421","211 Cascade Street, Elyria, OH 44035, United States of America","United States","Ohio","Lorain County","Elyria"
"422","7092 Columbus Road, Quincy, IL 62305, United States of America","United States","Illinois","Adams County","Quincy"
"423","272 South Acacia Street, San Dimas, CA 91773, United States of America","United States","California","Los Angeles County","San Dimas"
"424","141 Riverside Drive, Athens, GA 30606, United States of America","United States","Georgia","Athens-Clarke County","Athens"
"425","Pennyrile Parkway, Henderson, KY 42420, United States of America","United States","Kentucky","Henderson County","Henderson"
"426","1806 West Haddon Avenue, Chicago, IL 60622, United States of America","United States","Illinois","Cook County","Chicago"
"427","824 Northwest 50th Street, Lawton, OK 73505, United States of America","United States","Oklahoma","Comanche County","Lawton"
"428","16 Waverly Court, Lakewood, NJ 08701, United States of America","United States","New Jersey","Ocean County","Lakewood"
"429","2211 South 10th Street, Grand Forks, ND 58201, United States of America","United States","North Dakota","Grand Forks County","Grand Forks"
"430","197 Middle Country Road, Middle Island, NY 11953, United States of America","United States","New York","Suffolk County","Middle Island"
"431","Simoni Softball Field, Rudkin Way, Stockton, CA 95204, United States of America","United States","California","San Joaquin County","Stockton"
"432","114 Overview Lane, Cary, NC 27511, United States of America","United States","North Carolina","Wake County","Cary"
"433","Dumke Field, Downington Avenue, Salt Lake City, UT 84105, United States of America","United States","Utah","Salt Lake County","Salt Lake City"
"434","347 Ga Hwy 126, Bleckley County, GA, United States of America","United States","Georgia","Bleckley County","347 Ga Hwy 126, Bleckley County, GA, United States of America"
"435","1001 Nora Porter Loop, Port Townsend, WA 98368, United States of America","United States","Washington","Jefferson County","Port Townsend"
"436","6120 Smoke Ranch Road, Las Vegas, NV, United States of America","United States","Nevada","Clark County","Las Vegas"
"437","2636 Coffee Pot Boulevard NE, St. Petersburg, FL 33704, United States of America","United States","Florida","Pinellas County","St. Petersburg"
"438","499 Nathan Dean Boulevard, Dallas, GA 30132, United States of America","United States","Georgia","Paulding County","Dallas"
"439","El Prado Park, 6428 South 19th Avenue, Phoenix, AZ 85041, United States of America","United States","Arizona","Maricopa County","Phoenix"
"440","1733 Mckees Rocks Road, McKees Rocks, PA 15136, United States of America","United States","Pennsylvania","Allegheny County","McKees Rocks"
"441","2001 West Palmer Boulevard, Chicago, IL 60647, United States of America","United States","Illinois","Cook County","Chicago"
"442","8791 Lake Court Lane, Cedar Bluff, TN 37923, United States of America","United States","Tennessee","Knox County","8791 Lake Court Lane, Cedar Bluff, TN 37923, United States of America"
"443","1989 NC-39, Franklin County, NC, United States of America","United States","North Carolina","Franklin County","1989 NC-39, Franklin County, NC, United States of America"
"444","1229 Winding Willow Court, Kissimmee, FL 34746, United States of America","United States","Florida","Osceola County","Kissimmee"
"445","Beechwood Golf Course, La Porte, IN 4350, United States of America","United States","Indiana","LaPorte County","La Porte"
"446","23826 Birnam Wood Boulevard, Spring, TX 77373, United States of America","United States","Texas","Harris County","Spring"
"447","1103 Highgate Road, Wilmington, DE 19808, United States of America","United States","Delaware","New Castle County","Wilmington"
"448","51 West Park Avenue, Coeur d'Alene, ID 83815, United States of America","United States","Idaho","Kootenai County","Coeur d'Alene"
"449","19121 North 19th Place, Phoenix, AZ 85024, United States of America","United States","Arizona","Maricopa County","Phoenix"
"450","5317 Cliffside Circle, Ventura, CA 93003, United States of America","United States","California","Ventura County","Ventura"
"451","8214 Princeton Square Boulevard East, Jacksonville, FL 32256, United States of America","United States","Florida","Duval County","Jacksonville"
"452","Walmart Supercenter, 7520 Garners Ferry Road, Columbia, SC 29209, United States of America","United States","South Carolina","Richland County","Columbia"
"453","Seward Hill Preserve, Main Street, Chester, NJ 07930, United States of America","United States","New Jersey","Morris County","Chester"
